[2018-11-22 01:47:34] ; ,行:19; 設定開始
[2018-11-22 01:47:34] ; Request::__construct,行:8; Request生成
[2018-11-22 01:47:34] ; ,行:23; 設定完了
[2018-11-22 01:47:34] ; Request::__construct,行:8; Request生成
[2018-11-22 01:47:34] ; ,行:25; URL:/
[2018-11-22 01:47:34] ; Request::__construct,行:8; Request生成
[2018-11-22 01:47:34] ; Dispatch::excute,行:26; [0=>, 1=>]
[2018-11-22 01:47:34] ; Dispatch::excute,行:28; is not false
[2018-11-22 01:47:34] ; Dispatch::excute,行:39; null
[2018-11-22 01:47:34] ; View::view,行:63; index
[2018-11-22 01:47:34] ; View::view,行:63; parts/header
[2018-11-22 01:47:34] ; View::view,行:63; parts/bxslider
[2018-11-22 01:47:34] ; View::view,行:63; parts/news
[2018-11-22 01:47:34] ; View::view,行:63; parts/showImgs
[2018-11-22 01:47:34] ; View::view,行:63; parts/footer
[2018-11-22 01:47:39] ; ,行:19; 設定開始
[2018-11-22 01:47:39] ; Request::__construct,行:8; Request生成
[2018-11-22 01:47:39] ; ,行:23; 設定完了
[2018-11-22 01:47:39] ; Request::__construct,行:8; Request生成
[2018-11-22 01:47:39] ; ,行:25; URL:/about
[2018-11-22 01:47:39] ; Request::__construct,行:8; Request生成
[2018-11-22 01:47:39] ; Dispatch::excute,行:26; [0=>, 1=>about]
[2018-11-22 01:47:39] ; Dispatch::excute,行:28; is not false
[2018-11-22 01:47:39] ; Dispatch::excute,行:31; about
[2018-11-22 01:47:39] ; Dispatch::excute,行:39; null
[2018-11-22 01:47:39] ; View::view,行:63; index
[2018-11-22 01:47:39] ; View::view,行:63; parts/header
[2018-11-22 01:47:39] ; View::view,行:63; parts/bxslider
[2018-11-22 01:47:39] ; View::view,行:63; parts/news
[2018-11-22 01:47:39] ; View::view,行:63; parts/showImgs
[2018-11-22 01:47:39] ; View::view,行:63; parts/footer
[2018-11-22 01:48:03] ; ,行:19; 設定開始
[2018-11-22 01:48:03] ; Request::__construct,行:8; Request生成
[2018-11-22 01:48:03] ; ,行:23; 設定完了
[2018-11-22 01:48:03] ; Request::__construct,行:8; Request生成
[2018-11-22 01:48:03] ; ,行:25; URL:/about
[2018-11-22 01:48:03] ; Request::__construct,行:8; Request生成
