[2018-11-22 11:42:10] ; ,行:19; 設定開始
[2018-11-22 11:42:10] ; Request::__construct,行:8; Request生成
[2018-11-22 11:42:10] ; ,行:23; 設定完了
[2018-11-22 11:42:10] ; Request::__construct,行:8; Request生成
[2018-11-22 11:42:10] ; ,行:25; URL:/
[2018-11-22 11:42:10] ; Request::__construct,行:8; Request生成
[2018-11-22 11:42:10] ; Dispatch::excute,行:26; [0=>, 1=>]
[2018-11-22 11:42:10] ; Dispatch::excute,行:28; is not false
[2018-11-22 11:42:10] ; Dispatch::excute,行:47; null
[2018-11-22 11:42:10] ; View::view,行:63; index
[2018-11-22 11:42:10] ; View::view,行:63; parts/header
[2018-11-22 11:42:10] ; View::view,行:63; parts/bxslider
[2018-11-22 11:42:10] ; View::view,行:63; parts/product
[2018-11-22 11:42:10] ; View::view,行:63; parts/news
[2018-11-22 11:42:10] ; View::view,行:63; parts/showImgs
[2018-11-22 11:42:10] ; View::view,行:63; parts/footer
[2018-11-22 11:42:11] ; ,行:19; 設定開始
[2018-11-22 11:42:11] ; Request::__construct,行:8; Request生成
[2018-11-22 11:42:11] ; ,行:23; 設定完了
[2018-11-22 11:42:11] ; Request::__construct,行:8; Request生成
[2018-11-22 11:42:11] ; ,行:25; URL:/public/css/bootstrap.css.map
[2018-11-22 11:42:11] ; Request::__construct,行:8; Request生成
[2018-11-22 11:42:11] ; Dispatch::excute,行:26; [0=>, 1=>public, 2=>css, 3=>bootstrap.css.map]
[2018-11-22 11:42:11] ; Dispatch::excute,行:28; is not false
[2018-11-22 11:42:11] ; Dispatch::excute,行:37; public
[2018-11-22 11:42:11] ; Dispatch::excute,行:47; null
[2018-11-22 11:42:11] ; View::view,行:63; index
[2018-11-22 11:42:11] ; View::view,行:63; parts/header
[2018-11-22 11:42:11] ; View::view,行:63; parts/bxslider
[2018-11-22 11:42:11] ; View::view,行:63; parts/product
[2018-11-22 11:42:11] ; View::view,行:63; parts/news
[2018-11-22 11:42:11] ; View::view,行:63; parts/showImgs
[2018-11-22 11:42:11] ; View::view,行:63; parts/footer
[2018-11-22 11:48:02] ; ,行:19; 設定開始
[2018-11-22 11:48:02] ; Request::__construct,行:8; Request生成
