[2018-11-23 09:09:18] ; ,行:19; 設定開始
[2018-11-23 09:09:18] ; Request::__construct,行:8; Request生成
[2018-11-23 09:09:18] ; ,行:23; 設定完了
[2018-11-23 09:09:18] ; Request::__construct,行:8; Request生成
[2018-11-23 09:09:18] ; ,行:25; URL:/
[2018-11-23 09:09:18] ; Request::__construct,行:8; Request生成
[2018-11-23 09:09:18] ; Dispatch::excute,行:26; [0=>, 1=>]
[2018-11-23 09:09:18] ; Dispatch::excute,行:28; is not false
[2018-11-23 09:09:18] ; Dispatch::excute,行:47; null
[2018-11-23 09:09:18] ; View::view,行:63; index
[2018-11-23 09:09:18] ; View::view,行:63; parts/header
[2018-11-23 09:09:18] ; View::view,行:63; parts/bxslider
[2018-11-23 09:09:18] ; View::view,行:63; parts/product
[2018-11-23 09:09:18] ; View::view,行:63; parts/news
[2018-11-23 09:09:18] ; View::view,行:63; parts/showImgs
[2018-11-23 09:09:18] ; View::view,行:63; parts/footer
[2018-11-23 09:09:22] ; ,行:19; 設定開始
[2018-11-23 09:09:22] ; Request::__construct,行:8; Request生成
[2018-11-23 09:09:22] ; ,行:23; 設定完了
[2018-11-23 09:09:22] ; Request::__construct,行:8; Request生成
[2018-11-23 09:09:22] ; ,行:25; URL:/inquiry
[2018-11-23 09:09:22] ; Request::__construct,行:8; Request生成
[2018-11-23 09:09:22] ; Dispatch::excute,行:26; [0=>, 1=>inquiry]
[2018-11-23 09:09:22] ; Dispatch::excute,行:28; is not false
[2018-11-23 09:09:22] ; Dispatch::excute,行:37; inquiry
[2018-11-23 09:09:22] ; Dispatch::excute,行:47; {}
[2018-11-23 09:09:22] ; View::view,行:63; inquiry
[2018-11-23 09:09:22] ; View::view,行:63; parts/header
[2018-11-23 09:09:22] ; View::view,行:63; parts/inquiry
[2018-11-23 09:09:22] ; View::view,行:63; parts/footer
[2018-11-23 09:09:25] ; ,行:19; 設定開始
[2018-11-23 09:09:25] ; Request::__construct,行:8; Request生成
[2018-11-23 09:09:25] ; ,行:23; 設定完了
[2018-11-23 09:09:25] ; Request::__construct,行:8; Request生成
[2018-11-23 09:09:25] ; ,行:25; URL:/inquiry_confirmation
[2018-11-23 09:09:25] ; Request::__construct,行:8; Request生成
[2018-11-23 09:09:25] ; Dispatch::excute,行:26; [0=>, 1=>inquiry_confirmation]
[2018-11-23 09:09:25] ; Dispatch::excute,行:28; is not false
[2018-11-23 09:09:25] ; Dispatch::excute,行:37; inquiry_confirmation
[2018-11-23 09:09:25] ; Dispatch::excute,行:47; {}
[2018-11-23 09:09:25] ; View::view,行:63; inquiryAction@confirmation
[2018-11-23 09:11:35] ; ,行:19; 設定開始
[2018-11-23 09:11:35] ; Request::__construct,行:8; Request生成
[2018-11-23 09:11:35] ; ,行:23; 設定完了
[2018-11-23 09:11:35] ; Request::__construct,行:8; Request生成
[2018-11-23 09:11:35] ; ,行:25; URL:/inquiry_confirmation
[2018-11-23 09:11:35] ; Request::__construct,行:8; Request生成
[2018-11-23 09:11:35] ; Dispatch::excute,行:26; [0=>, 1=>inquiry_confirmation]
[2018-11-23 09:11:35] ; Dispatch::excute,行:28; is not false
[2018-11-23 09:20:06] ; ,行:19; 設定開始
[2018-11-23 09:20:06] ; Request::__construct,行:8; Request生成
[2018-11-23 09:20:06] ; ,行:23; 設定完了
[2018-11-23 09:20:06] ; Request::__construct,行:8; Request生成
[2018-11-23 09:20:06] ; ,行:25; URL:/inquiry_confirmation
[2018-11-23 09:20:06] ; Request::__construct,行:8; Request生成
[2018-11-23 09:20:06] ; Dispatch::excute,行:26; [0=>, 1=>inquiry_confirmation]
[2018-11-23 09:20:06] ; Dispatch::excute,行:28; is not false
[2018-11-23 09:20:34] ; ,行:19; 設定開始
[2018-11-23 09:20:34] ; Request::__construct,行:8; Request生成
[2018-11-23 09:20:34] ; ,行:23; 設定完了
[2018-11-23 09:20:34] ; Request::__construct,行:8; Request生成
[2018-11-23 09:20:34] ; ,行:25; URL:/inquiry_confirmation
[2018-11-23 09:20:34] ; Request::__construct,行:8; Request生成
[2018-11-23 09:20:34] ; Dispatch::excute,行:26; [0=>, 1=>inquiry_confirmation]
[2018-11-23 09:20:34] ; Dispatch::excute,行:28; is not false
[2018-11-23 09:20:34] ; Dispatch::excute,行:47; null
[2018-11-23 09:20:34] ; View::view,行:63; index
[2018-11-23 09:20:34] ; View::view,行:63; parts/header
[2018-11-23 09:20:34] ; View::view,行:63; parts/bxslider
[2018-11-23 09:20:34] ; View::view,行:63; parts/product
[2018-11-23 09:20:34] ; View::view,行:63; parts/news
[2018-11-23 09:20:34] ; View::view,行:63; parts/showImgs
[2018-11-23 09:20:34] ; View::view,行:63; parts/footer
[2018-11-23 09:21:06] ; ,行:19; 設定開始
[2018-11-23 09:21:06] ; Request::__construct,行:8; Request生成
[2018-11-23 09:21:06] ; ,行:23; 設定完了
[2018-11-23 09:21:06] ; Request::__construct,行:8; Request生成
[2018-11-23 09:21:06] ; ,行:25; URL:/inquiry
[2018-11-23 09:21:06] ; Request::__construct,行:8; Request生成
[2018-11-23 09:21:06] ; Dispatch::excute,行:26; [0=>, 1=>inquiry]
[2018-11-23 09:21:06] ; Dispatch::excute,行:28; is not false
[2018-11-23 09:21:06] ; Dispatch::excute,行:47; null
[2018-11-23 09:21:06] ; View::view,行:63; index
[2018-11-23 09:21:06] ; View::view,行:63; parts/header
[2018-11-23 09:21:06] ; View::view,行:63; parts/bxslider
[2018-11-23 09:21:06] ; View::view,行:63; parts/product
[2018-11-23 09:21:06] ; View::view,行:63; parts/news
[2018-11-23 09:21:06] ; View::view,行:63; parts/showImgs
